timestamp,open,high,low,close,volume
2020-06-12 16:00:00,188.0600,188.5200,187.4900,187.7300,1430496
2020-06-12 15:55:00,187.9500,188.8500,187.4800,188.0500,814218
2020-06-12 15:50:00,187.3200,188.0400,187.3200,187.9800,525003
2020-06-12 15:45:00,187.0400,187.3400,186.7700,187.3000,391429
2020-06-12 15:40:00,186.7500,187.2900,186.6690,187.0400,306377
2020-06-12 15:35:00,186.5800,186.7900,186.1500,186.7400,283616
2020-06-12 15:30:00,186.6758,187.0980,186.2400,186.5800,309446
2020-06-12 15:25:00,187.4598,187.5899,186.6300,186.6850,244267
2020-06-12 15:20:00,187.8500,187.8900,187.0100,187.4450,342792
2020-06-12 15:15:00,187.4100,187.9400,187.4000,187.8250,242894
2020-06-12 15:10:00,187.4000,188.0900,187.2500,187.4199,340222
2020-06-12 15:05:00,187.1200,187.7200,187.1200,187.4200,389715
2020-06-12 15:00:00,187.0800,187.1900,186.6500,187.1100,194813
2020-06-12 14:55:00,186.6700,187.0800,186.3200,187.0756,240198
2020-06-12 14:50:00,186.5300,187.1200,186.4100,186.6801,257219
2020-06-12 14:45:00,186.6100,186.9000,186.1300,186.4400,237479
2020-06-12 14:40:00,187.1100,187.2400,186.5200,186.6200,198253
2020-06-12 14:35:00,186.5200,187.5500,186.3800,187.0900,533989
2020-06-12 14:30:00,186.0700,186.5700,186.0550,186.4901,232670
2020-06-12 14:25:00,185.9300,186.3500,185.8300,186.0500,264408
2020-06-12 14:20:00,186.5800,186.7600,185.9100,185.9400,342507
2020-06-12 14:15:00,185.6150,186.8200,185.6100,186.5400,370719
2020-06-12 14:10:00,186.1900,186.1900,185.3800,185.6000,316340
2020-06-12 14:05:00,185.3200,186.5899,185.1800,186.1700,458863
2020-06-12 14:00:00,185.9400,186.3400,185.2600,185.3101,363625
2020-06-12 13:55:00,185.4400,185.9700,185.2500,185.9350,458584
2020-06-12 13:50:00,186.3900,186.5600,185.3200,185.4150,563425
2020-06-12 13:45:00,186.3400,186.9299,186.0700,186.3800,283588
2020-06-12 13:40:00,186.6232,186.9100,186.1100,186.3400,407175
